"time","latitude","longitude","depth","mag","magType","nst","gap","dmin","rms","net","id","updated","place","type","horizontalError","depthError","magError","magNst","status","locationSource","magSource"
"1999-10-16T09:46:44.460Z",34.6033333,-116.265,13.73,7.1,"mw",73,57,NA,0.31,"ci","ci9108652","2020-08-21T18:33:58.123Z","Hector Mine, CA Earthquake","earthquake",0.35,31.61,NA,0,"reviewed","ci","ci"
"1999-10-16T09:51:48.330Z",34.4451667,-116.2636667,-0.849,4.77,"ml",24,69,NA,0.1,"ci","ci3320846","2017-02-07T18:56:46.937Z","32km SSW of Ludlow, CA","earthquake",0.4,1.16,0.44,29,"reviewed","ci","ci"
"1999-10-16T09:52:15.800Z",34.609,-116.286,4.57,4.15,"ml",0,181.5,0.2245,0.378,"ci","ci3327069","2016-04-02T10:32:12.981Z","17km SW of Ludlow, CA","earthquake",NA,NA,NA,17,"reviewed","ci","ci"
"1999-10-16T09:52:53.970Z",34.502,-116.203,4.897,4.98,"ml",0,211.1,0.3468,0.292,"ci","ci3320847","2017-02-07T18:51:59.777Z","25km S of Ludlow, CA","earthquake",NA,NA,NA,22,"reviewed","ci","ci"
"1999-10-16T09:54:54.930Z",34.617,-116.289,1.527,4.25,"ml",0,209.2,NA,0.255,"ci","ci3327070","2016-04-02T16:50:35.808Z","16km SW of Ludlow, CA","earthquake",NA,9.029,NA,14,"reviewed","ci","ci"
"1999-10-16T09:55:39.260Z",34.499,-116.332,4.818,2.5,"mh",0,213.9,0.2812,0.132,"ci","ci3327078","2016-02-16T21:04:19.772Z","29km SSW of Ludlow, California","earthquake",NA,NA,NA,0,"reviewed","ci","ci"
"1999-10-16T09:55:45.970Z",34.536,-116.311,4.622,4.02,"ml",0,224,0.28,0.253,"ci","ci3327071","2016-04-02T19:49:33.014Z","25km SW of Ludlow, CA","earthquake",NA,NA,NA,18,"reviewed","ci","ci"
"1999-10-16T09:58:02.400Z",34.53,-116.26,4.787,3,"mh",0,203.1,0.2479,0.22,"ci","ci3327080","2016-04-02T17:35:56.471Z","23km SSW of Ludlow, CA","earthquake",NA,NA,NA,0,"reviewed","ci","ci"
"1999-10-16T09:59:35.390Z",34.6781667,-116.2895,13.906,5.77,"ml",60,76,NA,0.35,"ci","ci3320848","2020-07-09T21:30:41.719Z","13km WSW of Ludlow, CA","earthquake",0.56,1.72,NA,270,"reviewed","ci","ci"
"1999-10-16T10:02:39.820Z",34.584,-116.262,-1.203,4.48,"ml",0,187.9,NA,0.233,"ci","ci3320849","2017-02-07T19:01:41.900Z","18km SSW of Ludlow, CA","earthquake",NA,1.548,NA,124,"reviewed","ci","ci"
"1999-10-16T10:04:54.100Z",34.6235,-116.2948333,4.787,4.11,"ml",17,82,0.2725,0.17,"ci","ci3320857","2017-02-07T19:11:08.789Z","16km SW of Ludlow, CA","earthquake",0.41,16.46,NA,121,"reviewed","ci","ci"
"1999-10-16T10:06:54.560Z",34.353,-116.15,4.828,3.03,"ml",0,214.6,0.1802,0.236,"ci","ci3327074","2016-04-02T19:51:59.937Z","25km NNW of Twentynine Palms, CA","earthquake",NA,NA,NA,10,"reviewed","ci","ci"
"1999-10-16T10:08:04.370Z",34.706,-116.341,0.54,4.74,"ml",0,64.4,0.2416,0.2,"ci","ci9108676","2017-02-09T14:39:50.813Z","17km W of Ludlow, CA","earthquake",NA,1.573,0.176,89,"reviewed","ci","ci"
"1999-10-16T10:09:54.620Z",34.671,-116.292,0.72,3.99,"ml",0,75.4,NA,0.3,"ci","ci3320876","2017-02-07T19:15:32.073Z","13km WSW of Ludlow, CA","earthquake",NA,3.391,NA,40,"reviewed","ci","ci"
"1999-10-16T10:10:33.840Z",34.594,-116.278,4.9,3,"mh",13,145,NA,0.28,"ci","ci9108780","2016-04-02T11:54:17.708Z","18km SW of Ludlow, CA","earthquake",20.64,31.61,NA,0,"reviewed","ci","ci"
"1999-10-16T10:10:48.900Z",34.6388333,-116.2865,-1.1,4.36,"ml",11,108,NA,0.07,"ci","ci9108699","2017-02-09T15:08:09.956Z","15km SW of Ludlow, CA","earthquake",0.33,1.45,0.165,54,"reviewed","ci","ci"
"1999-10-16T10:11:38.740Z",34.695,-116.391,1.577,3,"mh",0,138.8,NA,0.175,"ci","ci3320898","2016-04-02T14:26:25.415Z","21km W of Ludlow, CA","earthquake",NA,1.261,NA,0,"reviewed","ci","ci"
"1999-10-16T10:12:19.720Z",34.5036667,-116.2348333,-0.212,4.03,"ml",10,79,0.2314,0.18,"ci","ci9108647","2016-04-02T15:04:26.899Z","25km SSW of Ludlow, CA","earthquake",1.12,1.33,0.265,77,"reviewed","ci","ci"
"1999-10-16T10:12:47.110Z",34.548,-116.295,-0.742,2.5,"mh",0,143.5,0.2881,0.308,"ci","ci9108648","2016-02-16T08:56:30.333Z","23km SSW of Ludlow, California","earthquake",NA,4.447,NA,0,"reviewed","ci","ci"
"1999-10-16T10:18:47.900Z",34.6423333,-116.299,5.72,4.01,"ml",11,70,NA,0.54,"ci","ci9108649","2016-04-02T18:12:27.043Z","15km SW of Ludlow, CA","earthquake",1.3,34.8,0.182,61,"reviewed","ci","ci"
