time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1992-04-23T04:50:23.230Z,33.96,-116.317,11.629,6.1,mw,0,63.1,NA,0.256,ci,ci3019681,2021-01-07T23:39:01.254Z,"17km NNE of Thousand Palms, California",earthquake,NA,0.216,NA,0,reviewed,ci,ci
1992-04-23T04:54:14.590Z,33.949,-116.32,5.934,3.5,mh,0,85.4,NA,0.204,ci,ci3027817,2016-02-10T21:15:14.386Z,"16km NNE of Thousand Palms, California",earthquake,NA,1.184,NA,0,reviewed,ci,ci
1992-04-23T04:55:27.960Z,34.01,-116.348,5.132,3.32,mc,0,158.6,NA,0.181,ci,ci3027925,2016-02-09T20:04:25.818Z,"14km SE of Yucca Valley, California",earthquake,NA,5.756,NA,6,reviewed,ci,ci
1992-04-23T04:56:21.680Z,33.998,-116.329,9.119,3.65,mc,0,65,NA,0.215,ci,ci3027929,2016-02-09T23:52:13.928Z,"15km S of Joshua Tree, California",earthquake,NA,0.459,NA,24,reviewed,ci,ci
1992-04-23T04:57:02.920Z,33.999,-116.331,9.485,3.41,mc,0,79.6,NA,0.21,ci,ci3027931,2016-02-10T10:39:04.205Z,"15km S of Joshua Tree, California",earthquake,NA,0.532,NA,11,reviewed,ci,ci
1992-04-23T05:07:37.480Z,33.951,-116.321,4.469,3.03,mc,0,71.3,NA,0.186,ci,ci2047718,2016-02-09T20:04:27.165Z,"16km NNE of Thousand Palms, California",earthquake,NA,0.347,NA,41,reviewed,ci,ci
1992-04-23T05:10:10.390Z,34.01,-116.324,2.539,4,mh,0,64.3,NA,0.249,ci,ci2047719,2016-02-10T21:15:16.563Z,"14km S of Joshua Tree, California",earthquake,NA,0.492,NA,0,reviewed,ci,ci
1992-04-23T05:10:28.090Z,33.958,-116.33,2.27,4.3,mc,0,96.5,NA,0.169,ci,ci3027826,2016-02-10T07:02:37.819Z,"16km E of Desert Hot Springs, California",earthquake,NA,0.412,NA,16,reviewed,ci,ci
1992-04-23T05:11:37.800Z,34.015,-116.33,9.193,3.27,mc,0,77.5,NA,0.192,ci,ci3027831,2016-02-09T20:04:28.571Z,"13km S of Joshua Tree, California",earthquake,NA,0.552,NA,7,reviewed,ci,ci
1992-04-23T05:16:53.980Z,34.0091667,-116.3446667,5.147,2.5,mh,7,288,NA,0.28,ci,ci2047720,2016-02-10T21:15:17.936Z,"14km SE of Yucca Valley, California",earthquake,2.25,31.61,NA,0,reviewed,ci,ci
1992-04-23T05:22:18.550Z,34.062,-116.325,10.259,3.83,mc,0,55.1,NA,0.235,ci,ci2047722,2016-02-09T23:52:15.275Z,"8km S of Joshua Tree, California",earthquake,NA,0.478,NA,55,reviewed,ci,ci
1992-04-23T05:22:54.990Z,33.951,-116.327,10.179,3.19,mc,0,84.7,NA,0.117,ci,ci3017248,2016-02-10T21:15:19.283Z,"16km NNE of Thousand Palms, California",earthquake,NA,0.99,NA,9,reviewed,ci,ci
1992-04-23T05:23:16.190Z,33.943,-116.325,4.629,4.01,mc,0,67.2,NA,0.149,ci,ci3017236,2016-02-10T10:39:05.464Z,"15km NNE of Thousand Palms, California",earthquake,NA,0.328,NA,54,reviewed,ci,ci
1992-04-23T05:24:41.270Z,34.022,-116.326,-0.439,3.27,mc,0,79.9,NA,0.172,ci,ci3017249,2016-02-10T03:29:46.674Z,"13km S of Joshua Tree, California",earthquake,NA,0.707,NA,38,reviewed,ci,ci
1992-04-23T05:25:15.670Z,34.01,-116.289,3.551,2.8,mc,0,105.3,NA,0.166,ci,ci3017269,2016-02-10T21:15:20.911Z,"14km S of Joshua Tree, California",earthquake,NA,1.385,NA,6,reviewed,ci,ci
1992-04-23T05:36:49.380Z,33.9591667,-116.325,4.429,3.49,mc,40,67,NA,0.19,ci,ci2047724,2016-04-02T11:55:09.324Z,"16km E of Desert Hot Springs, CA",earthquake,0.37,0.64,NA,64,reviewed,ci,ci
1992-04-23T05:37:09.700Z,33.959,-116.3871667,0.905,2.5,mh,7,210,NA,0.07,ci,ci3017238,2016-04-02T00:49:20.517Z,"11km E of Desert Hot Springs, CA",earthquake,0.77,1.05,NA,0,reviewed,ci,ci
1992-04-23T05:37:32.740Z,33.956,-116.341,3.868,2.79,mc,0,136.2,NA,0.154,ci,ci3017246,2016-02-10T14:05:55.329Z,"15km E of Desert Hot Springs, California",earthquake,NA,0.279,NA,9,reviewed,ci,ci
1992-04-23T05:45:59.300Z,34.022,-116.324,5.998,3.09,mc,0,117.3,NA,0.173,ci,ci2047725,2016-02-10T21:15:22.318Z,"13km S of Joshua Tree, California",earthquake,NA,4.23,NA,5,reviewed,ci,ci
1992-04-23T05:53:16.670Z,33.991,-116.304,2.739,3.28,mc,0,71.3,NA,0.142,ci,ci2047726,2016-02-10T17:36:53.462Z,"16km S of Joshua Tree, California",earthquake,NA,0.38,NA,35,reviewed,ci,ci
1992-04-23T05:56:14.320Z,33.949,-116.317,8.209,3.24,mc,0,62.4,NA,0.168,ci,ci2047727,2016-02-10T07:02:40.821Z,"16km NNE of Thousand Palms, California",earthquake,NA,0.862,NA,60,reviewed,ci,ci
1992-04-23T05:56:49.510Z,34.029,-116.331,-1.067,2.84,mc,0,89.4,NA,0.119,ci,ci3017296,2016-02-10T21:15:23.950Z,"12km S of Joshua Tree, California",earthquake,NA,4.484,NA,8,reviewed,ci,ci
1992-04-23T05:58:07.900Z,33.977,-116.233,1.964,3.5,mc,0,67.7,NA,0.215,ci,ci2047728,2016-02-10T03:29:48.042Z,"19km SSE of Joshua Tree, California",earthquake,NA,0.29,NA,65,reviewed,ci,ci
1992-04-23T06:06:32.920Z,34.031,-116.332,-0.519,2.89,mc,0,80.6,NA,0.185,ci,ci2047729,2016-02-10T03:29:50.483Z,"12km S of Joshua Tree, California",earthquake,NA,0.468,NA,4,reviewed,ci,ci
1992-04-23T06:06:43.050Z,33.96,-116.324,8.531,3.39,mc,0,83.9,NA,0.263,ci,ci3017321,2016-02-10T14:05:59.200Z,"16km E of Desert Hot Springs, California",earthquake,NA,1.194,NA,57,reviewed,ci,ci
1992-04-23T06:11:55.340Z,34.028,-116.321,8.781,3.58,mc,0,63,NA,0.265,ci,ci2047731,2016-02-10T17:36:54.905Z,"12km S of Joshua Tree, California",earthquake,NA,0.443,NA,110,reviewed,ci,ci
1992-04-23T06:12:31.030Z,34.034,-116.311,1.641,3,mh,0,136.6,NA,0.392,ci,ci3017430,2016-04-02T08:40:42.340Z,"11km S of Joshua Tree, CA",earthquake,NA,1.895,NA,0,reviewed,ci,ci
1992-04-23T06:13:32.850Z,33.982,-116.235,1.809,2.99,mc,0,67.8,NA,0.202,ci,ci3017431,2016-02-09T20:04:33.575Z,"18km SSE of Joshua Tree, California",earthquake,NA,0.2,NA,38,reviewed,ci,ci
1992-04-23T06:15:50.590Z,33.9878333,-116.3298333,5.239,3.27,mc,41,63,NA,0.22,ci,ci2047732,2016-04-01T19:43:43.286Z,"16km E of Desert Hot Springs, CA",earthquake,0.42,1.67,NA,32,reviewed,ci,ci
1992-04-23T06:16:02.900Z,33.9491667,-116.3181667,7.807,2.5,mh,4,230,0.05451,0.12,ci,ci12177163,2016-02-09T20:04:36.099Z,"16km NNE of Thousand Palms, California",earthquake,2.37,1.26,NA,0,reviewed,ci,ci
1992-04-23T06:17:32.410Z,33.95,-116.317,5.099,3.38,mc,0,62.5,NA,0.209,ci,ci2047733,2016-02-10T03:29:51.945Z,"16km NNE of Thousand Palms, California",earthquake,NA,1.012,NA,79,reviewed,ci,ci
1992-04-23T06:18:44.850Z,33.952,-116.319,4.369,3.17,mc,0,62.5,NA,0.189,ci,ci3017562,2016-02-10T14:06:00.555Z,"16km NNE of Thousand Palms, California",earthquake,NA,0.192,NA,63,reviewed,ci,ci
1992-04-23T06:27:41.830Z,33.978,-116.334,1.739,3.23,mc,0,73.5,NA,0.206,ci,ci2047735,2016-02-09T23:52:20.962Z,"16km E of Desert Hot Springs, California",earthquake,NA,0.315,NA,36,reviewed,ci,ci
1992-04-23T06:34:06.540Z,33.9841667,-116.3271667,10.29,2.81,mc,22,156,0.1854,0.2,ci,ci3017750,2016-04-02T18:14:54.105Z,"16km E of Desert Hot Springs, CA",earthquake,0.62,2.38,NA,61,reviewed,ci,ci
1992-04-23T06:34:28.960Z,33.956,-116.3251667,1.799,2.5,mh,14,72,0.05094,0.13,ci,ci12177167,2016-02-10T17:36:56.675Z,"16km NNE of Thousand Palms, California",earthquake,0.53,0.88,NA,0,reviewed,ci,ci
1992-04-23T06:34:31.070Z,33.952,-116.3286667,0.879,3.15,mc,24,69,NA,0.15,ci,ci2047736,2016-02-10T03:29:53.316Z,"16km NNE of Thousand Palms, California",earthquake,0.48,0.81,NA,61,reviewed,ci,ci
1992-04-23T06:35:26.550Z,34.0161667,-116.3376667,8.439,2.73,mc,13,85,0.08698,0.21,ci,ci3017756,2016-04-02T02:16:43.638Z,"13km S of Joshua Tree, CA",earthquake,0.8,2.07,NA,37,reviewed,ci,ci
1992-04-23T06:36:28.840Z,34.0508333,-116.3358333,7.519,3.56,mc,48,56,NA,0.22,ci,ci3017753,2016-04-02T05:30:49.841Z,"10km SSW of Joshua Tree, CA",earthquake,0.42,1.2,NA,79,reviewed,ci,ci
1992-04-23T06:37:21.040Z,33.9651667,-116.3543333,5.639,2.5,mh,9,70,0.03621,0.1,ci,ci3017748,2016-04-02T11:57:06.729Z,"14km E of Desert Hot Springs, CA",earthquake,0.45,0.85,NA,0,reviewed,ci,ci
1992-04-23T06:38:42.450Z,33.9731667,-116.3265,5.389,2.92,mc,42,73,0.05852,0.25,ci,ci2047738,2016-04-02T15:05:02.238Z,"16km E of Desert Hot Springs, CA",earthquake,0.48,1.32,NA,54,reviewed,ci,ci
1992-04-23T06:40:14.250Z,33.9528333,-116.315,5.429,3.81,mc,28,74,NA,0.15,ci,ci2047739,2016-04-02T02:15:00.703Z,"16km NNE of Thousand Palms, CA",earthquake,0.53,1.59,NA,8,reviewed,ci,ci
1992-04-23T06:50:28.700Z,33.988,-116.291,3.393,3.73,mc,0,74.5,NA,0.192,ci,ci3017177,2016-02-10T17:36:59.440Z,"16km S of Joshua Tree, California",earthquake,NA,0.24,NA,39,reviewed,ci,ci
1992-04-23T06:50:45.980Z,33.965,-116.314,1.949,3.34,mc,0,100.3,NA,0.126,ci,ci3017808,2016-02-09T20:04:38.637Z,"17km E of Desert Hot Springs, California",earthquake,NA,0.725,NA,30,reviewed,ci,ci
1992-04-23T06:51:37.900Z,33.933,-116.321,2.939,3.27,mc,0,132.7,NA,0.198,ci,ci3017810,2016-02-09T23:52:23.580Z,"14km NNE of Thousand Palms, California",earthquake,NA,0.333,NA,45,reviewed,ci,ci
