publicid,eventtype,origintime,modificationtime,longitude,latitude,magnitude,depth,magnitudetype,depthtype,evaluationmethod,evaluationstatus,evaluationmode,earthmodel,usedphasecount,usedstationcount,magnitudestationcount,minimumdistance,azimuthalgap,originerror,magnitudeuncertainty
2016p858000,earthquake,2016-11-13T11:02:56.346Z,2017-12-17T22:15:41.433Z,173.0221405,-42.6925354,7.820379733,15.11445332,Mw(mB),,LOCSAT,confirmed,manual,iasp91,94,93,37,0.220557392,54.98503113,1.822964596,0.4
2016p858013,earthquake,2016-11-13T11:06:14.609Z,2016-12-21T01:46:45.115Z,173.0942841,-42.56021118,5.629252725,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,47,28,3,0.066397876,79.28569031,1.114156781,0
2016p858011,earthquake,2016-11-13T11:08:14.955Z,2016-12-20T23:19:49.806Z,173.1106567,-42.50253677,5.24066731,10.48001671,M,,LOCSAT,confirmed,manual,iasp91,32,18,4,0.124221474,83.8811264,0.732145622,0
2016p858012,earthquake,2016-11-13T11:08:48.146Z,2016-12-22T00:47:46.148Z,172.830307,-42.57452011,4.99793396,3.591153383,M,,LOCSAT,confirmed,manual,iasp91,48,38,3,0.12851496,169.0356216,0.669580537,0
2016p858015,earthquake,2016-11-13T11:09:07.614Z,2016-12-22T20:34:20.925Z,172.9503479,-42.62915802,5.302367235,9.789445877,M,,LOCSAT,confirmed,manual,iasp91,97,62,6,0.076814011,122.7293396,0.761533957,0
2016p858014,earthquake,2016-11-13T11:09:55.693Z,2016-12-22T01:31:25.557Z,172.9685974,-42.64731216,4.667457883,3.949454069,M,,LOCSAT,confirmed,manual,iasp91,42,31,6,0.068622887,60.36414337,0.593143276,0
2016p858021,earthquake,2016-11-13T11:12:35.486Z,2016-12-22T20:52:22.679Z,173.7769012,-42.42848206,6.026432759,5.603704929,M,,LOCSAT,confirmed,manual,iasp91,47,32,6,0.070218995,196.5944061,0.607879333,0
2016p858025,earthquake,2016-11-13T11:16:07.143Z,2016-12-22T23:36:13.096Z,172.9548798,-42.60528183,4.972231376,16.25598907,M,,LOCSAT,confirmed,manual,iasp91,71,42,6,0.123155721,95.80276489,1.074951904,0
2016p858027,earthquake,2016-11-13T11:17:18.994Z,2017-01-04T03:28:18.060Z,173.0496368,-42.55535507,4.858002852,14.44154739,M,,LOCSAT,confirmed,manual,iasp91,77,44,5,0.06412717,211.3486481,0.845617713,0
2016p858030,earthquake,2016-11-13T11:18:38.600Z,2017-01-04T03:46:09.686Z,173.7884369,-42.01209259,5.03046443,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,48,26,8,0.15452306,122.1059952,0.706417013,0
2016p858032,earthquake,2016-11-13T11:19:32.825Z,2017-01-04T05:16:40.486Z,173.7016907,-42.02248001,5.318619852,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,120,80,12,0.218955115,109.7123718,0.909580776,0
2016p858034,earthquake,2016-11-13T11:21:15.633Z,2017-01-04T22:50:19.123Z,173.0251007,-42.60958481,4.965940038,9.518454552,M,,LOCSAT,confirmed,manual,iasp91,26,15,6,0.023227569,96.77539062,0.927240222,0
2016p858037,earthquake,2016-11-13T11:22:31.472Z,2017-01-05T04:07:30.518Z,173.4656067,-42.15118408,4.848249243,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,24,14,5,0.270165026,116.6761017,1.21623886,0
2016p858036,earthquake,2016-11-13T11:23:32.903Z,2017-01-05T02:36:09.602Z,173.8248901,-42.16729355,4.774444777,4.238160133,M,,LOCSAT,confirmed,manual,iasp91,26,15,7,0.241451383,163.0954971,0.773095343,0
2016p858041,earthquake,2016-11-13T11:24:16.908Z,2017-01-05T21:01:21.703Z,173.7319031,-42.03785324,5.545570123,7.260608673,M,,LOCSAT,confirmed,manual,iasp91,37,26,17,0.203305617,132.5540619,0.634776352,0
2016p858052,earthquake,2016-11-13T11:30:24.885Z,2017-01-06T01:30:07.896Z,173.3555603,-42.52959824,4.483022753,20.47912598,M,,LOCSAT,confirmed,manual,iasp91,13,8,5,0.176936582,141.6779747,0.561111305,0
2016p858053,earthquake,2016-11-13T11:30:26.739Z,2017-01-06T01:54:09.494Z,173.8280334,-42.14182663,5.108869636,6.452077389,M,,LOCSAT,confirmed,manual,iasp91,32,18,7,0.218285784,158.4146118,0.647259288,0
2016p858054,earthquake,2016-11-13T11:30:40.445Z,2017-01-06T05:11:45.540Z,172.7563782,-42.70393372,4.018992078,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,14,8,2,0.032499176,109.1739011,0.590455706,0
2016p858057,earthquake,2016-11-13T11:31:24.158Z,2017-01-09T01:06:03.417Z,173.6165771,-42.14592361,4.803847889,6.903105259,M,,LOCSAT,confirmed,manual,iasp91,62,43,9,0.273423821,115.0114555,0.784976887,0
2016p858055,earthquake,2016-11-13T11:32:07.000Z,2017-01-09T03:59:09.416Z,173.6727753,-42.24645996,6.183156744,11.26408863,M,,LOCSAT,confirmed,manual,iasp91,46,33,13,0.179370105,117.0766029,0.888371143,0
2016p858059,earthquake,2016-11-13T11:35:05.711Z,2017-01-09T21:02:59.982Z,173.7826996,-42.22956848,4.678642487,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,23,15,10,0.259568244,153.0756035,0.782899097,0
2016p858072,earthquake,2016-11-13T11:40:22.690Z,2017-01-10T02:34:42.312Z,172.7606659,-42.66152573,4.127967103,4.230461597,M,,LOCSAT,confirmed,manual,iasp91,28,15,7,0.049252141,91.53697586,0.686162918,0
2016p858069,earthquake,2016-11-13T11:40:48.635Z,2017-01-10T02:47:55.440Z,173.4771729,-42.32665253,5.008149217,9.762313843,M,,LOCSAT,confirmed,manual,iasp91,60,36,14,0.100332618,77.69348526,0.946237852,0
2016p858071,earthquake,2016-11-13T11:41:08.061Z,2017-01-10T03:38:55.849Z,173.7074127,-42.4037056,4.064400289,1.372720003,MLv,,LOCSAT,confirmed,manual,iasp91,13,9,3,0.028959263,209.0263443,1.05209762,0.562072693
2016p858081,earthquake,2016-11-13T11:45:52.394Z,2017-01-11T03:51:31.255Z,173.6719666,-42.00214386,4.600441839,6.585529327,M,,LOCSAT,confirmed,manual,iasp91,50,28,7,0.23535417,100.2543945,0.768502644,0
2016p858093,earthquake,2016-11-13T11:51:03.676Z,2017-01-17T22:19:42.190Z,173.4546967,-42.35023117,4.549469386,4.866723061,M,,LOCSAT,confirmed,manual,iasp91,24,14,13,0.090643451,75.67521667,0.601378161,0
2016p858094,earthquake,2016-11-13T11:52:44.351Z,2017-01-15T21:29:49.706Z,173.6026306,-42.20107269,6.136439961,9.046556473,Mw(mB),,LOCSAT,confirmed,manual,iasp91,68,49,2,0.219898418,101.8690033,0.805537518,0.4
